ID	LastName	FirstName	Title	Narrative	CrossRef	Index
person1	"Forrest"	"Robert William"	""	"Robert Forrest (1831-1908; WWW), dean of Worcester, 1891-1908. "	""  
person2	"Osborne"	"Charles Edward"	""	"Charles Osborne (1856-1936; WWW), assistant and biographer of controversial anglo-catholic slum priest Robert Dolling, Portsmouth, 1885-93; vicar of Seghill, 1893-1906; rector, Wallsend, and rural dean, Tynemouth, 1906-36. "	""  
person4	"Donaldson"	"Stuart Alexander"	""	"Stuart Donaldson (1854-1915; CCD), master of Magdalene Coll., Cambridge, 1904-15. Trinity Coll., Cambridge; assistant master and master, Eton Coll., 1878-1904."	""  
person5	"Baxter"	"Richard"	""	"Richard Baxter (1615-91; ODNB), writer, theologian, and leading churchman of strong puritan sympathies. Vicar, Kidderminster, 1647-61; opposed subscription after the Act of Uniformity (1662), becoming a dissenter, although of a liberal rather than doctrinaire kind; an early exemplar for Henson in approaching pastoral work, particularly through <i>The Reformed Pastor</i> (1658) and autobiography, <i>Reliquiae Baxterianae</i> (1696): <i>Retrospect</i>, I, 38; Braley, <i>More Letters</i>, 34-5."	""  
person7	"Spelling"	"Alfred James"	""	"Alfred Spelling (1883-1978), Henson's first godson. His family were members of Henson's congregation at Ilford; Henson paid for his education with a view to his ordination, but in 1901 decided not to take holy orders; worked in the Stock Exchange, while pursuing Christian service in Oxford House; Henson officiated at his marriage at Ilford in 1910. Henson corresponded extensively with him; copies of the letters are preserved in HHH173. "	"pers.16"  
person8	"Mason"	"Albert Edward"	""	"Albert Mason (b. 1882), a protege of Henson's at Ilford. Butcher's assistant (1901); mineral water salesman (1911); among the young men whose potential Henson sought to encourage: Journal, 26 May 1907."	""  
person10	"Festing"	"John Wogan"	""	"John Festing (1837-1902; WWW), bishop of St Albans, 1890-1902."	"pers.182"  
person12	"Nicholson"	"Francis"	""	"Francis Nicholson (1868-1918; CCD), curate, St Luke's, Victoria Dock, 1900-11; vicar, Ford End, Essex, 1911-18."	""  
person11	"Puller"	"Frederick William"	""	"Frederick Puller (1843-1938 WWW), member of the Society of St John the Evangelist (SSJE, the Cowley Fathers); superior of the SSJE's London House and chaplain-general of the Community of the Holy Family, 1910-29. "	"org.167"  
person13	"Simpson"	"Henry Edgington"	""	"Henry Simpson (1857-1952; CCD), curate, St Matthew's Westminster, 1884-1908. "	""  
person14	"Raleigh"	"Thomas"	"Sir"	"Thomas Raleigh (1850-1920, WWW), prominent lawyer. Fellow, All Souls Coll., Oxford, 1876; reader in English Law, Oxford, 1884-96; legal member, government of India, 1899-1904; vice chancellor, Calcutta University, 1900-04; high bailiff, Westminster, 1905; member, council of the secretary of state for India, 1909; friend of Henson from their early fellowships at All Souls."	""  
